trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,13,-15.52588520260953,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,13,-11.594843264219177,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-93.74838978461673,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-2.651578700857514,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,9,-36.73577918223072,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-1.050093284008124,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-84.09500100526299,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,12,-32.19470663235692,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,0,-39.92809786261875,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,0,-82.92473575800867,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,1,-12.340589033100946,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",35,18,-20.47610669140452,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-17.36775394827132,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-33.247144880846676,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,13,-53.525897198646064,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",30,9,-58.84748374391927,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,17,2.8128060266258115,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,14,11.139089043894534,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-7.323616735499835,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,0,-1.3936495090631382,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,1,10.61619729848456,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,0,-151.40615123268873,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-31.053674092876786,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,0,-47.95575346429723,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",35,10,-18.51820885639025,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,10,4.558927684737215,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,5,-106.51705355610808,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,0,-1.9811214960283343,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,11,-22.76517028729768,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,10,7.7865975846036735,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-30.853802824071643,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",30,23,-32.485986148594016,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,6,7.97734471616169,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,3,-130.44350040816562,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 3}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,14.901309344207368,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,0,-17.33818771148007,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,20,12.275674204992377,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,18,13.552557332398495,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,28.91167168727338,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,1,-18.894967794512414,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,5,-19.918379589473766,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,13,18.698936901984027,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,13,-43.84426883594755,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,0,-107.48400807150011,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,0,-38.16051991867531,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,5,14.649044180997466,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,15,-4.091635630849925,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
